ŽžŠÔ,”òs‹@,ŠŠ‘–˜H
13:20.0,’…—¤,16L
13:25.0,D12,16L
13:25.2,’…—¤,16R
13:26.2,’…—¤,16R
13:35.0,’…—¤,16R
13:40.0,’…—¤,16L
13:40.0,’…—¤,16R
13:45.0,’…—¤,16L
13:50.0,D11,16R
13:50.0,D5,16L
13:54.0,’…—¤,16L
13:55.0,D11,16L
13:55.7,’…—¤,16R
13:56.7,’…—¤,16R
14:00.0,D2,16R
14:00.0,D4,16L
14:4.8,’…—¤,16L
14:05.0,D81,16R
14:05.0,D7,16L
14:9.5,’…—¤,16L
14:10.5,’…—¤,16L
14:11.5,’…—¤,16L
14:15.0,D10,16L
14:15.0,D6,16R
14:15.0,I53,16L
14:19.9,’…—¤,16R
14:20.9,’…—¤,16R
14:25.0,D8,16R
14:25.0,D82,16L
14:29.7,’…—¤,16R
14:30.7,’…—¤,16R
14:30.0,D6,16R
14:30.0,D81,16L
14:34.9,’…—¤,16R
14:35.9,’…—¤,16R
14:40.0,D3,16R
14:45.0,D1,16L
14:45.0,D1,16R
14:45.0,I56,16L
14:55.0,I54,16R
14:55.0,’…—¤,16L
14:56.0,’…—¤,16L
15:00.0,D11,16L
15:00.0,D9,16R
15:01.0,D11,16L
15:00.0,D82,16R
15:6.1,’…—¤,16L
15:7.1,’…—¤,16L
15:8.1,’…—¤,16L
15:8.2,’…—¤,16R
15:10.0,D4,16L
15:10.0,D2,16R
15:14.8,’…—¤,16L
15:15.2,’…—¤,16R
15:20.0,’…—¤,16L
15:25.0,D7,16R
15:30.0,I55,16L
15:35.0,D10,16R
15:37.6,’…—¤,16L
15:40.0,’…—¤,16L
15:45.0,’…—¤,16R
15:50.0,D11,16L
15:50.0,D6,16R
15:54.9,’…—¤,16R
15:55.0,D81,16L
15:55.0,D1,16R
15:56.4,D6,16R
15:55.7,I53,16R
16:2.2,’…—¤,16R
16:00.0,D5,16L
16:3.2,’…—¤,16R
16:4.0,’…—¤,16L
16:5.0,’…—¤,16R
16:10.0,D8,16L
16:10.0,’…—¤,16R
16:11.0,’…—¤,16R
16:15.0,D81,16R
16:15.0,’…—¤,16L
16:20.0,D9,16L
16:20.0,D3,16R
16:24.6,’…—¤,16L
16:25.3,’…—¤,16R
16:25.6,’…—¤,16L
16:30.0,D2,16R
16:30.0,D82,16L
16:35.2,’…—¤,16R
16:40.0,’…—¤,16R
16:45.0,D6,16L
16:45.0,D11,16R
16:49.2,’…—¤,16L
16:50.2,’…—¤,16L
16:50.7,’…—¤,16R
16:51.2,’…—¤,16L
16:55.0,D81,16R
16:55.0,D1,16L
16:56.2,D7,16L
17:0.6,’…—¤,16L
17:00.0,D82,16L
17:00.0,D4,16R
17:01.2,D1,16R
17:6.4,’…—¤,16R
17:7.4,’…—¤,16R
17:7.5,’…—¤,16L
17:8.4,’…—¤,16R
17:05.0,D10,16L
17:9.4,’…—¤,16R
17:10.0,’…—¤,16L
17:15.0,D12,16R
17:15.0,’…—¤,16L
17:20.0,D5,16L
17:25.0,D81,16R
17:30.0,D8,16L
17:30.0,D81,16R
17:35.0,I54,16L
17:38.0,’…—¤,16R
17:40.0,D82,16R
17:40.0,D3,16L
17:44.6,’…—¤,16L
17:45.0,D11,16L
17:48.2,’…—¤,16R
17:49.2,’…—¤,16R
17:50.0,D9,16L
17:50.2,’…—¤,16R
17:51.2,’…—¤,16R
17:55.0,D1,16R
17:55.0,’…—¤,16L
17:56.0,’…—¤,16L
18:00.0,D2,34R
18:00.0,D6,34L
18:05.7,I53,34L
18:12.8,’…—¤,34R
18:13.7,’…—¤,34L
18:13.8,’…—¤,34R
18:14.7,’…—¤,34L
18:14.8,’…—¤,34R
18:10.0,D81,34L
18:15.8,’…—¤,34R
18:16.8,’…—¤,34R
18:20.0,’…—¤,34R
18:20.0,’…—¤,34L
18:25.0,D12,34R
18:25.0,D82,34L
18:33.5,’…—¤,34L
18:30.0,D5,34L
18:30.0,D11,34R
18:40.8,’…—¤,34R
18:35.0,D10,34R
18:35.0,D7,34L
18:35.0,D3,34R
18:40.0,D1,34L
18:40.0,D1,34R
18:41.5,D4,34R
18:53.4,’…—¤,34L
18:54.0,’…—¤,34R
18:54.4,’…—¤,34L
18:55.0,D6,34R
18:55.4,’…—¤,34L
19:00.0,D82,34L
19:00.0,D11,34R
19:8.5,’…—¤,34L
19:9.5,’…—¤,34L
19:10.5,’…—¤,34L
19:05.0,D8,34R
19:10.0,D81,34L
19:10.0,D6,34R
19:18.6,’…—¤,34L
19:15.0,D9,34L
19:20.0,D11,34R
19:20.0,D2,34L
19:30.8,’…—¤,34R
19:31.8,’…—¤,34R
19:32.8,’…—¤,34R
19:30.0,D82,34L
19:35.0,’…—¤,34R
19:36.0,’…—¤,34R
19:37.0,’…—¤,34R
19:40.0,D4,34R
19:40.0,’…—¤,34L
19:41.0,’…—¤,34L
19:50.0,D10,34L
19:52.6,’…—¤,34R
19:55.0,D1,34R
20:1.5,’…—¤,34L
20:00.0,D7,34L
20:00.0,D5,34R
20:12.4,’…—¤,34R
20:12.5,’…—¤,34L
20:13.4,’…—¤,34R
20:05.0,D2,34L
20:14.4,’…—¤,34R
20:10.0,D8,34R
20:10.0,D11,34L
20:15.0,D11,34L
20:20.0,D1,34R
20:26.2,’…—¤,34L
20:25.0,D3,34L
20:33.0,’…—¤,34R
20:34.0,’…—¤,34R
20:35.0,’…—¤,34R
20:36.0,’…—¤,34R
20:37.0,’…—¤,34R
20:38.0,’…—¤,34R
20:40.0,D4,34L
20:50.0,D9,34R
20:53.0,’…—¤,34L
20:55.0,D12,34L
21:1.2,’…—¤,34R
21:2.2,’…—¤,34R
21:3.2,’…—¤,34R
21:00.0,D6,34R
21:6.0,’…—¤,34L
21:7.0,’…—¤,34L
21:05.0,D5,34L
21:10.0,D1,34R
21:17.8,’…—¤,34L
21:18.8,’…—¤,34L
21:15.0,D11,34L
21:23.0,’…—¤,34R
21:20.0,D2,34R
21:26.2,’…—¤,34L
21:27.2,’…—¤,34L
21:28.2,’…—¤,34L
21:29.2,’…—¤,34L
21:30.2,’…—¤,34L
21:31.2,’…—¤,34L
21:32.2,’…—¤,34L
21:32.8,’…—¤,34R
21:33.2,’…—¤,34L
21:35.0,’…—¤,34R
21:35.0,’…—¤,34L
21:45.0,’…—¤,34R
21:55.0,’…—¤,34L
21:55.0,’…—¤,34R
